NRKARTY,DATAW,MASA,JEDN,FIRMA,NR_KLIENTA,NR_MAGW,NR_ODPADU
1172/0W/2018,23.10.2018,1.096,Mg.,0,15680,34441,531
440/1W/2018,11.10.2018,4.55,Mg.,1,14556,34442,576
1377/0W/2018,07.12.2018,16.52,Mg.,0,5905,34718,572
357/1W/2018,05.09.2018,1.0,Mg.,1,13327,34144,572
1140/0W/2018,20.09.2018,22.94,Mg.,0,2001,34400,576
958/0W/2018,05.09.2018,3.34,Mg.,0,2349,34145,531
959/0W/2018,05.09.2018,7.86,Mg.,0,2349,34146,579
1141/0W/2018,21.09.2018,24.18,Mg.,0,2001,34401,710
960/0W/2018,05.09.2018,7.37,Mg.,0,17368,34147,531
1142/0W/2018,24.09.2018,24.78,Mg.,0,2001,34402,594
358/1W/2018,04.09.2018,1.41,Mg.,1,396,34148,500
359/1W/2018,04.09.2018,0.36,Mg.,1,396,34149,531
1143/0W/2018,25.09.2018,24.66,Mg.,0,2001,34403,565
1144/0W/2018,26.09.2018,23.96,Mg.,0,2001,34404,565
1378/0W/2018,12.12.2018,24.32,Mg.,0,11299,34719,575
1225/0W/2018,12.10.2018,4.58,Mg.,0,6357,34511,575
1226/0W/2018,23.10.2018,25.12,Mg.,0,6357,34512,595
1259/0W/2018,06.11.2018,1.54,Mg.,0,16949,34578,531
1227/0W/2018,29.10.2018,25.3,Mg.,0,6357,34513,564
1228/0W/2018,30.10.2018,5.38,Mg.,0,6357,34514,575
1260/0W/2018,19.11.2018,0.87,Mg.,0,15680,34579,572
363/1W/2018,03.09.2018,1.71,Mg.,1,16393,34159,554
1229/0W/2018,31.10.2018,24.92,Mg.,0,6357,34515,572
457/1W/2018,06.11.2018,3.0,Mg.,1,14556,34516,531
12/2W/2018,31.10.2018,0.302,Mg.,2,16962,34517,531
1230/0W/2018,01.10.2018,23.22,Mg.,0,2001,34518,572
1261/0W/2018,21.11.2018,4.3,Mg.,0,13771,34580,531
1231/0W/2018,05.10.2018,22.22,Mg.,0,2001,34519,531
1379/0W/2018,12.12.2018,6.74,Mg.,0,13771,34720,576
1232/0W/2018,06.11.2018,5.86,Mg.,0,13771,34520,572
1233/0W/2018,06.11.2018,3.602,Mg.,0,2423,34521,590
1234/0W/2018,06.11.2018,2.278,Mg.,0,2423,34522,531
1235/0W/2018,05.11.2018,3.09,Mg.,0,17368,34523,531
1056/0W/2018,28.09.2018,7.48,Mg.,0,17368,34282,564
1057/0W/2018,28.09.2018,24.0,Mg.,0,17224,34283,572
397/1W/2018,28.09.2018,21.0,Mg.,1,4435,34284,531
1058/0W/2018,21.09.2018,4.74,Mg.,0,6357,34285,594
1059/0W/2018,21.09.2018,5.04,Mg.,0,6357,34286,531
458/1W/2018,05.11.2018,9.06,Mg.,1,6827,34524,564
459/1W/2018,31.10.2018,4.25,Mg.,1,6827,34525,344
460/1W/2018,31.10.2018,1.04,Mg.,1,34,34526,531
461/1W/2018,31.10.2018,0.56,Mg.,1,34,34527,681
1453/0W/2018,19.12.2018,1.335,Mg.,0,13452,34806,531
523/1W/2018,20.12.2018,2.04,Mg.,1,313,34807,598
1262/0W/2018,21.11.2018,10.28,Mg.,0,15623,34581,570
1380/0W/2018,18.12.2018,6.29,Mg.,0,17368,34721,531
489/1W/2018,19.11.2018,8.5,Mg.,1,6827,34582,531
1381/0W/2018,12.12.2018,14.14,Mg.,0,7473,34722,594
511/1W/2018,12.12.2018,1.64,Mg.,1,313,34723,582
